file,id_html,nama_produk_html,img_di_html,status_file_vs_html,format,ukuran,sha256,revisi_klaim
mum1.webp,1,ELISA Kit,mum1.webp,OK,WEBP,1536x864,39a4f94081db76917b5cd7145e1bb772ddccbd9305c2503b2d2cb89037b6332f,TIDAK
mum2.webp,2,IHC Kit / Immunohistochemistry Kit,mum2.webp,OK,WEBP,1536x864,a75d4c33dadaabbf535b16892843d21bf940f11c785481b0fda31f3142614825,TIDAK
mum3.webp,3,IF Kit / Immunofluorescence Kit,mum3.webp,OK,WEBP,1536x864,0761b6721d86dc22477db2e8a36c75da49ff257da840c5028167f2627c47cf1d,TIDAK
mum4.webp,4,ICC Kit / Immunocytochemistry Kit,mum4.webp,OK,WEBP,1536x864,dbbd2429304bf43970aaaa69b407f602d81642fd62ccec1b4982c2d002d71482,TIDAK
mum5.webp,5,Western Blot Kit,mum5.webp,OK,WEBP,1536x864,0a14959974f5369b528fe7b2e4e4db3018e831c070c8c7fde540405d06ef1882,TIDAK
mum6.webp,6,PCR Kit,mum6.webp,OK,WEBP,1536x864,f69979224e2f5696a1dbb737740abdd12e9e063ea105c408988edcc4b4100f12,TIDAK
mum7.webp,7,qPCR Kit,mum7.webp,OK,WEBP,1536x864,44d29e01e5994fd3495e7cf940a15b96693b685eda5cb66593ccd729b2601001,TIDAK
mum8.webp,8,RT-qPCR Kit,mum8.webp,OK,WEBP,1536x864,dfec0a03c8ac105d4286f4f9daf4098fe96b92ca43baa3e20f36fad6746d23b8,TIDAK
mum9.webp,9,qPCR Master Mix,mum9.webp,OK,WEBP,1536x864,0ad60217d862b05a920907338d37011a92ff7b9bed5b67864ac6e7c730b51ba6,TIDAK
mum10.webp,10,DNA Extraction Kit,mum10.webp,OK,WEBP,1536x864,c607bf8638b8b0f6c2e95ff6225f1e24ff86b45d1ef47f8c98385781fbb64532,TIDAK
mum11.webp,11,RNA Extraction Kit,mum11.webp,OK,WEBP,1536x864,74effc30bcfd03b78c6d375626ee73f485e79361b80286bf95e659b035635ae4,TIDAK
mum12.webp,12,Protein Extraction Kit,mum12.webp,OK,WEBP,1536x864,4b8fcf17b5f4d774d1f278c754f45a822824294841b5dc139b80f0a736546bb1,TIDAK
